Name,ConcreteInputName,AbstractTestName,EvaluationTime,EvaluationNames,Pass,Fail,Error,FlakeyFail,DeterministicPass,DeterministicFail,DeterministicError,Evaluation_Number,Evaluation_NumberPass,Evaluation_NumberFail,Evaluation_NumberError
A2|1,1,A2,MaxTime,{A2|1|Evaluation|001}{A2|1|Evaluation|002}{A2|1|Evaluation|003}{A2|1|Evaluation|004}{A2|1|Evaluation|005}{A2|1|Evaluation|006}{A2|1|Evaluation|007}{A2|1|Evaluation|008}{A2|1|Evaluation|009}{A2|1|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
A2|2,2,A2,MaxTime,{A2|2|Evaluation|001}{A2|2|Evaluation|002}{A2|2|Evaluation|003}{A2|2|Evaluation|004}{A2|2|Evaluation|005}{A2|2|Evaluation|006}{A2|2|Evaluation|007}{A2|2|Evaluation|008}{A2|2|Evaluation|009}{A2|2|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
A2|3,3,A2,MaxTime,{A2|3|Evaluation|001}{A2|3|Evaluation|002}{A2|3|Evaluation|003}{A2|3|Evaluation|004}{A2|3|Evaluation|005}{A2|3|Evaluation|006}{A2|3|Evaluation|007}{A2|3|Evaluation|008}{A2|3|Evaluation|009}{A2|3|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
A2|4,4,A2,MaxTime,{A2|4|Evaluation|001}{A2|4|Evaluation|002}{A2|4|Evaluation|003}{A2|4|Evaluation|004}{A2|4|Evaluation|005}{A2|4|Evaluation|006}{A2|4|Evaluation|007}{A2|4|Evaluation|008}{A2|4|Evaluation|009}{A2|4|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
A2|5,5,A2,MaxTime,{A2|5|Evaluation|001}{A2|5|Evaluation|002}{A2|5|Evaluation|003}{A2|5|Evaluation|004}{A2|5|Evaluation|005}{A2|5|Evaluation|006}{A2|5|Evaluation|007}{A2|5|Evaluation|008}{A2|5|Evaluation|009}{A2|5|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
A2|6,6,A2,MaxTime,{A2|6|Evaluation|001}{A2|6|Evaluation|002}{A2|6|Evaluation|003}{A2|6|Evaluation|004}{A2|6|Evaluation|005}{A2|6|Evaluation|006}{A2|6|Evaluation|007}{A2|6|Evaluation|008}{A2|6|Evaluation|009}{A2|6|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
A2|7,7,A2,MaxTime,{A2|7|Evaluation|001}{A2|7|Evaluation|002}{A2|7|Evaluation|003}{A2|7|Evaluation|004}{A2|7|Evaluation|005}{A2|7|Evaluation|006}{A2|7|Evaluation|007}{A2|7|Evaluation|008}{A2|7|Evaluation|009}{A2|7|Evaluation|010},1,0,0,0,1,0,0,10,10,0,0
A2|8,8,A2,MaxTime,{A2|8|Evaluation|001}{A2|8|Evaluation|002}{A2|8|Evaluation|003}{A2|8|Evaluation|004}{A2|8|Evaluation|005}{A2|8|Evaluation|006}{A2|8|Evaluation|007}{A2|8|Evaluation|008}{A2|8|Evaluation|009}{A2|8|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
A2|9,9,A2,MaxTime,{A2|9|Evaluation|001}{A2|9|Evaluation|002}{A2|9|Evaluation|003}{A2|9|Evaluation|004}{A2|9|Evaluation|005}{A2|9|Evaluation|006}{A2|9|Evaluation|007}{A2|9|Evaluation|008}{A2|9|Evaluation|009}{A2|9|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
A2|10,10,A2,MaxTime,{A2|10|Evaluation|001}{A2|10|Evaluation|002}{A2|10|Evaluation|003}{A2|10|Evaluation|004}{A2|10|Evaluation|005}{A2|10|Evaluation|006}{A2|10|Evaluation|007}{A2|10|Evaluation|008}{A2|10|Evaluation|009}{A2|10|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
