Name,ConcreteInputName,AbstractTestName,EvaluationTime,EvaluationNames,Pass,Fail,Error,FlakeyFail,DeterministicPass,DeterministicFail,DeterministicError,Evaluation_Number,Evaluation_NumberPass,Evaluation_NumberFail,Evaluation_NumberError
ASE4|1,1,ASE4,MaxTime,{ASE4|1|Evaluation|001}{ASE4|1|Evaluation|002}{ASE4|1|Evaluation|003}{ASE4|1|Evaluation|004}{ASE4|1|Evaluation|005}{ASE4|1|Evaluation|006}{ASE4|1|Evaluation|007}{ASE4|1|Evaluation|008}{ASE4|1|Evaluation|009}{ASE4|1|Evaluation|010},1,0,0,0,1,0,0,10,10,0,0
ASE4|2,2,ASE4,MaxTime,{ASE4|2|Evaluation|001}{ASE4|2|Evaluation|002}{ASE4|2|Evaluation|003}{ASE4|2|Evaluation|004}{ASE4|2|Evaluation|005}{ASE4|2|Evaluation|006}{ASE4|2|Evaluation|007}{ASE4|2|Evaluation|008}{ASE4|2|Evaluation|009}{ASE4|2|Evaluation|010},1,0,0,0,1,0,0,10,10,0,0
ASE4|3,3,ASE4,MaxTime,{ASE4|3|Evaluation|001}{ASE4|3|Evaluation|002}{ASE4|3|Evaluation|003}{ASE4|3|Evaluation|004}{ASE4|3|Evaluation|005}{ASE4|3|Evaluation|006}{ASE4|3|Evaluation|007}{ASE4|3|Evaluation|008}{ASE4|3|Evaluation|009}{ASE4|3|Evaluation|010},1,0,0,0,1,0,0,10,10,0,0
ASE4|4,4,ASE4,MaxTime,{ASE4|4|Evaluation|001}{ASE4|4|Evaluation|002}{ASE4|4|Evaluation|003}{ASE4|4|Evaluation|004}{ASE4|4|Evaluation|005}{ASE4|4|Evaluation|006}{ASE4|4|Evaluation|007}{ASE4|4|Evaluation|008}{ASE4|4|Evaluation|009}{ASE4|4|Evaluation|010},1,0,0,0,1,0,0,10,10,0,0
ASE4|5,5,ASE4,MaxTime,{ASE4|5|Evaluation|001}{ASE4|5|Evaluation|002}{ASE4|5|Evaluation|003}{ASE4|5|Evaluation|004}{ASE4|5|Evaluation|005}{ASE4|5|Evaluation|006}{ASE4|5|Evaluation|007}{ASE4|5|Evaluation|008}{ASE4|5|Evaluation|009}{ASE4|5|Evaluation|010},1,0,0,0,1,0,0,10,10,0,0
ASE4|6,6,ASE4,MaxTime,{ASE4|6|Evaluation|001}{ASE4|6|Evaluation|002}{ASE4|6|Evaluation|003}{ASE4|6|Evaluation|004}{ASE4|6|Evaluation|005}{ASE4|6|Evaluation|006}{ASE4|6|Evaluation|007}{ASE4|6|Evaluation|008}{ASE4|6|Evaluation|009}{ASE4|6|Evaluation|010},1,0,0,0,1,0,0,10,10,0,0
ASE4|8,8,ASE4,MaxTime,{ASE4|8|Evaluation|001}{ASE4|8|Evaluation|002}{ASE4|8|Evaluation|003}{ASE4|8|Evaluation|004}{ASE4|8|Evaluation|005}{ASE4|8|Evaluation|006}{ASE4|8|Evaluation|007}{ASE4|8|Evaluation|008}{ASE4|8|Evaluation|009}{ASE4|8|Evaluation|010},1,0,0,0,1,0,0,10,10,0,0
ASE4|9,9,ASE4,MaxTime,{ASE4|9|Evaluation|001}{ASE4|9|Evaluation|002}{ASE4|9|Evaluation|003}{ASE4|9|Evaluation|004}{ASE4|9|Evaluation|005}{ASE4|9|Evaluation|006}{ASE4|9|Evaluation|007}{ASE4|9|Evaluation|008}{ASE4|9|Evaluation|009}{ASE4|9|Evaluation|010},1,0,0,0,1,0,0,10,10,0,0
ASE4|10,10,ASE4,MaxTime,{ASE4|10|Evaluation|001}{ASE4|10|Evaluation|002}{ASE4|10|Evaluation|003}{ASE4|10|Evaluation|004}{ASE4|10|Evaluation|005}{ASE4|10|Evaluation|006}{ASE4|10|Evaluation|007}{ASE4|10|Evaluation|008}{ASE4|10|Evaluation|009}{ASE4|10|Evaluation|010},1,0,0,0,1,0,0,10,10,0,0
