Name,ConcreteInputName,AbstractTestName,EvaluationTime,EvaluationNames,Pass,Fail,Error,FlakeyFail,DeterministicPass,DeterministicFail,DeterministicError,Evaluation_Number,Evaluation_NumberPass,Evaluation_NumberFail,Evaluation_NumberError
ASE1|1,1,ASE1,MaxTime,{ASE1|1|Evaluation|001}{ASE1|1|Evaluation|002}{ASE1|1|Evaluation|003}{ASE1|1|Evaluation|004}{ASE1|1|Evaluation|005}{ASE1|1|Evaluation|006}{ASE1|1|Evaluation|007}{ASE1|1|Evaluation|008}{ASE1|1|Evaluation|009}{ASE1|1|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
ASE1|2,2,ASE1,MaxTime,{ASE1|2|Evaluation|001}{ASE1|2|Evaluation|002}{ASE1|2|Evaluation|003}{ASE1|2|Evaluation|004}{ASE1|2|Evaluation|005}{ASE1|2|Evaluation|006}{ASE1|2|Evaluation|007}{ASE1|2|Evaluation|008}{ASE1|2|Evaluation|009}{ASE1|2|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
ASE1|3,3,ASE1,MaxTime,{ASE1|3|Evaluation|001}{ASE1|3|Evaluation|002}{ASE1|3|Evaluation|003}{ASE1|3|Evaluation|004}{ASE1|3|Evaluation|005}{ASE1|3|Evaluation|006}{ASE1|3|Evaluation|007}{ASE1|3|Evaluation|008}{ASE1|3|Evaluation|009}{ASE1|3|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
ASE1|8,8,ASE1,MaxTime,{ASE1|8|Evaluation|001}{ASE1|8|Evaluation|002}{ASE1|8|Evaluation|003}{ASE1|8|Evaluation|004}{ASE1|8|Evaluation|005}{ASE1|8|Evaluation|006}{ASE1|8|Evaluation|007}{ASE1|8|Evaluation|008}{ASE1|8|Evaluation|009}{ASE1|8|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
ASE1|9,9,ASE1,MaxTime,{ASE1|9|Evaluation|001}{ASE1|9|Evaluation|002}{ASE1|9|Evaluation|003}{ASE1|9|Evaluation|004}{ASE1|9|Evaluation|005}{ASE1|9|Evaluation|006}{ASE1|9|Evaluation|007}{ASE1|9|Evaluation|008}{ASE1|9|Evaluation|009}{ASE1|9|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
ASE1|10,10,ASE1,MaxTime,{ASE1|10|Evaluation|001}{ASE1|10|Evaluation|002}{ASE1|10|Evaluation|003}{ASE1|10|Evaluation|004}{ASE1|10|Evaluation|005}{ASE1|10|Evaluation|006}{ASE1|10|Evaluation|007}{ASE1|10|Evaluation|008}{ASE1|10|Evaluation|009}{ASE1|10|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
