Run: 001
 Times,Y   ,X1   ,X2   ,RC_ReactionN   ,RC_Reaction1   ,RC_Reaction2   ,ReactionFired
 0.0327698385    ,1    ,35    ,22    ,0    ,3    ,2    ,Reaction2
 0.0377556482    ,0    ,35    ,21    ,0    ,3    ,3    ,Reaction2
 0.0566620730    ,1    ,34    ,21    ,0    ,4    ,3    ,Reaction1
 0.0622445849    ,0    ,34    ,20    ,0    ,4    ,4    ,Reaction2
 0.0777247929    ,1    ,33    ,20    ,0    ,5    ,4    ,Reaction1
 0.0806959247    ,0    ,33    ,19    ,0    ,5    ,5    ,Reaction2
 0.0981374656    ,1    ,32    ,19    ,0    ,6    ,5    ,Reaction1
 0.1246613283    ,2    ,31    ,19    ,0    ,7    ,5    ,Reaction1
 0.1324821501    ,1    ,31    ,18    ,0    ,7    ,6    ,Reaction2
 0.1532961341    ,2    ,30    ,18    ,0    ,8    ,6    ,Reaction1
 0.1948745394    ,1    ,30    ,17    ,0    ,8    ,7    ,Reaction2
 0.2159860152    ,0    ,30    ,16    ,0    ,8    ,8    ,Reaction2
 0.2573779236    ,1    ,29    ,16    ,0    ,9    ,8    ,Reaction1
 0.2904755334    ,2    ,28    ,16    ,0    ,10    ,8    ,Reaction1
 0.2986507824    ,1    ,28    ,15    ,0    ,10    ,9    ,Reaction2
 0.3236219318    ,0    ,28    ,14    ,0    ,10    ,10    ,Reaction2
 0.3327629081    ,1    ,27    ,14    ,0    ,11    ,10    ,Reaction1
 0.3876419080    ,0    ,27    ,13    ,0    ,11    ,11    ,Reaction2
 0.4208587270    ,1    ,26    ,13    ,0    ,12    ,11    ,Reaction1
 0.4386738400    ,0    ,26    ,12    ,0    ,12    ,12    ,Reaction2
 0.4636338018    ,1    ,25    ,12    ,0    ,13    ,12    ,Reaction1
 0.4643731959    ,2    ,24    ,12    ,0    ,14    ,12    ,Reaction1
 0.5040828682    ,3    ,23    ,12    ,0    ,15    ,12    ,Reaction1
 0.5246915962    ,4    ,22    ,12    ,0    ,16    ,12    ,Reaction1
 0.5529019124    ,3    ,22    ,11    ,0    ,16    ,13    ,Reaction2
 0.5630642748    ,2    ,22    ,10    ,0    ,16    ,14    ,Reaction2
 0.5757666874    ,3    ,21    ,10    ,0    ,17    ,14    ,Reaction1
 0.6040872804    ,4    ,20    ,10    ,0    ,18    ,14    ,Reaction1
 0.6063791477    ,3    ,20    ,9    ,0    ,18    ,15    ,Reaction2
 0.6068019013    ,4    ,19    ,9    ,0    ,19    ,15    ,Reaction1
 0.6085611548    ,2    ,19    ,9    ,1    ,19    ,15    ,ReactionN
 0.6238039377    ,3    ,18    ,9    ,1    ,20    ,15    ,Reaction1
 0.6277188089    ,2    ,18    ,8    ,1    ,20    ,16    ,Reaction2
 0.7308980382    ,1    ,18    ,7    ,1    ,20    ,17    ,Reaction2
 0.7511511026    ,2    ,17    ,7    ,1    ,21    ,17    ,Reaction1
 0.7652834825    ,0    ,17    ,7    ,2    ,21    ,17    ,ReactionN
 0.7723277054    ,1    ,16    ,7    ,2    ,22    ,17    ,Reaction1
 0.7981976401    ,2    ,15    ,7    ,2    ,23    ,17    ,Reaction1
 0.8166132945    ,1    ,15    ,6    ,2    ,23    ,18    ,Reaction2
 0.8834408639    ,2    ,14    ,6    ,2    ,24    ,18    ,Reaction1
 0.9383694114    ,3    ,13    ,6    ,2    ,25    ,18    ,Reaction1
 0.9819694695    ,4    ,12    ,6    ,2    ,26    ,18    ,Reaction1
 1.0052272725    ,3    ,12    ,5    ,2    ,26    ,19    ,Reaction2
 1.0260360992    ,1    ,12    ,5    ,3    ,26    ,19    ,ReactionN
