Name,ConcreteInputName,AbstractTestName,EvaluationTime,EvaluationNames,Pass,Fail,Error,FlakeyFail,DeterministicPass,DeterministicFail,DeterministicError,Evaluation_Number,Evaluation_NumberPass,Evaluation_NumberFail,Evaluation_NumberError
M14|4|GE,4,M14,MaxTime,{M14|4|Evaluation|001}{M14|4|Evaluation|002}{M14|4|Evaluation|003}{M14|4|Evaluation|004}{M14|4|Evaluation|005}{M14|4|Evaluation|006}{M14|4|Evaluation|007}{M14|4|Evaluation|008}{M14|4|Evaluation|009}{M14|4|Evaluation|010},1,1,0,1,0,0,0,20,17,3,0
M14|5|GE,5,M14,MaxTime,{M14|5|Evaluation|001}{M14|5|Evaluation|002}{M14|5|Evaluation|003}{M14|5|Evaluation|004}{M14|5|Evaluation|005}{M14|5|Evaluation|006}{M14|5|Evaluation|007}{M14|5|Evaluation|008}{M14|5|Evaluation|009}{M14|5|Evaluation|010},1,1,0,1,0,0,0,20,16,4,0
M14|6|GE,6,M14,MaxTime,{M14|6|Evaluation|001}{M14|6|Evaluation|002}{M14|6|Evaluation|003}{M14|6|Evaluation|004}{M14|6|Evaluation|005}{M14|6|Evaluation|006}{M14|6|Evaluation|007}{M14|6|Evaluation|008}{M14|6|Evaluation|009}{M14|6|Evaluation|010},1,1,0,1,0,0,0,20,15,5,0
