Name,ConcreteInputName,AbstractTestName,EvaluationTime,EvaluationNames,Pass,Fail,Error,FlakeyFail,DeterministicPass,DeterministicFail,DeterministicError,Evaluation_Number,Evaluation_NumberPass,Evaluation_NumberFail,Evaluation_NumberError
M10|1|GE,1,M10,MaxTime,{M10|1|Evaluation|001}{M10|1|Evaluation|002}{M10|1|Evaluation|003}{M10|1|Evaluation|004}{M10|1|Evaluation|005}{M10|1|Evaluation|006}{M10|1|Evaluation|007}{M10|1|Evaluation|008}{M10|1|Evaluation|009}{M10|1|Evaluation|010},1,0,0,0,1,0,0,20,20,0,0
M10|2|GE,2,M10,MaxTime,{M10|2|Evaluation|001}{M10|2|Evaluation|002}{M10|2|Evaluation|003}{M10|2|Evaluation|004}{M10|2|Evaluation|005}{M10|2|Evaluation|006}{M10|2|Evaluation|007}{M10|2|Evaluation|008}{M10|2|Evaluation|009}{M10|2|Evaluation|010},1,0,0,0,1,0,0,20,20,0,0
M10|3|GE,3,M10,MaxTime,{M10|3|Evaluation|001}{M10|3|Evaluation|002}{M10|3|Evaluation|003}{M10|3|Evaluation|004}{M10|3|Evaluation|005}{M10|3|Evaluation|006}{M10|3|Evaluation|007}{M10|3|Evaluation|008}{M10|3|Evaluation|009}{M10|3|Evaluation|010},1,0,0,0,1,0,0,20,20,0,0
M10|4|GE,4,M10,MaxTime,{M10|4|Evaluation|001}{M10|4|Evaluation|002}{M10|4|Evaluation|003}{M10|4|Evaluation|004}{M10|4|Evaluation|005}{M10|4|Evaluation|006}{M10|4|Evaluation|007}{M10|4|Evaluation|008}{M10|4|Evaluation|009}{M10|4|Evaluation|010},1,0,0,0,1,0,0,20,20,0,0
M10|5|GE,5,M10,MaxTime,{M10|5|Evaluation|001}{M10|5|Evaluation|002}{M10|5|Evaluation|003}{M10|5|Evaluation|004}{M10|5|Evaluation|005}{M10|5|Evaluation|006}{M10|5|Evaluation|007}{M10|5|Evaluation|008}{M10|5|Evaluation|009}{M10|5|Evaluation|010},1,0,0,0,1,0,0,20,20,0,0
M10|6|GE,6,M10,MaxTime,{M10|6|Evaluation|001}{M10|6|Evaluation|002}{M10|6|Evaluation|003}{M10|6|Evaluation|004}{M10|6|Evaluation|005}{M10|6|Evaluation|006}{M10|6|Evaluation|007}{M10|6|Evaluation|008}{M10|6|Evaluation|009}{M10|6|Evaluation|010},1,0,0,0,1,0,0,20,20,0,0
M10|8|GE,8,M10,MaxTime,{M10|8|Evaluation|001}{M10|8|Evaluation|002}{M10|8|Evaluation|003}{M10|8|Evaluation|004}{M10|8|Evaluation|005}{M10|8|Evaluation|006}{M10|8|Evaluation|007}{M10|8|Evaluation|008}{M10|8|Evaluation|009}{M10|8|Evaluation|010},1,0,0,0,1,0,0,20,20,0,0
M10|9|GE,9,M10,MaxTime,{M10|9|Evaluation|001}{M10|9|Evaluation|002}{M10|9|Evaluation|003}{M10|9|Evaluation|004}{M10|9|Evaluation|005}{M10|9|Evaluation|006}{M10|9|Evaluation|007}{M10|9|Evaluation|008}{M10|9|Evaluation|009}{M10|9|Evaluation|010},1,0,0,0,1,0,0,20,20,0,0
M10|10|GE,10,M10,MaxTime,{M10|10|Evaluation|001}{M10|10|Evaluation|002}{M10|10|Evaluation|003}{M10|10|Evaluation|004}{M10|10|Evaluation|005}{M10|10|Evaluation|006}{M10|10|Evaluation|007}{M10|10|Evaluation|008}{M10|10|Evaluation|009}{M10|10|Evaluation|010},1,0,0,0,1,0,0,20,20,0,0
