Name,ConcreteInputName,AbstractTestName,EvaluationTime,EvaluationNames,Pass,Fail,Error,FlakeyFail,DeterministicPass,DeterministicFail,DeterministicError,Evaluation_Number,Evaluation_NumberPass,Evaluation_NumberFail,Evaluation_NumberError
A10|1|GE,1,A10,MaxTime,{A10|1|Evaluation|001}{A10|1|Evaluation|002}{A10|1|Evaluation|003}{A10|1|Evaluation|004}{A10|1|Evaluation|005}{A10|1|Evaluation|006}{A10|1|Evaluation|007}{A10|1|Evaluation|008}{A10|1|Evaluation|009}{A10|1|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A10|2|GE,2,A10,MaxTime,{A10|2|Evaluation|001}{A10|2|Evaluation|002}{A10|2|Evaluation|003}{A10|2|Evaluation|004}{A10|2|Evaluation|005}{A10|2|Evaluation|006}{A10|2|Evaluation|007}{A10|2|Evaluation|008}{A10|2|Evaluation|009}{A10|2|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A10|3|GE,3,A10,MaxTime,{A10|3|Evaluation|001}{A10|3|Evaluation|002}{A10|3|Evaluation|003}{A10|3|Evaluation|004}{A10|3|Evaluation|005}{A10|3|Evaluation|006}{A10|3|Evaluation|007}{A10|3|Evaluation|008}{A10|3|Evaluation|009}{A10|3|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A10|4|GE,4,A10,MaxTime,{A10|4|Evaluation|001}{A10|4|Evaluation|002}{A10|4|Evaluation|003}{A10|4|Evaluation|004}{A10|4|Evaluation|005}{A10|4|Evaluation|006}{A10|4|Evaluation|007}{A10|4|Evaluation|008}{A10|4|Evaluation|009}{A10|4|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A10|5|GE,5,A10,MaxTime,{A10|5|Evaluation|001}{A10|5|Evaluation|002}{A10|5|Evaluation|003}{A10|5|Evaluation|004}{A10|5|Evaluation|005}{A10|5|Evaluation|006}{A10|5|Evaluation|007}{A10|5|Evaluation|008}{A10|5|Evaluation|009}{A10|5|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A10|6|GE,6,A10,MaxTime,{A10|6|Evaluation|001}{A10|6|Evaluation|002}{A10|6|Evaluation|003}{A10|6|Evaluation|004}{A10|6|Evaluation|005}{A10|6|Evaluation|006}{A10|6|Evaluation|007}{A10|6|Evaluation|008}{A10|6|Evaluation|009}{A10|6|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A10|7|GE,7,A10,MaxTime,{A10|7|Evaluation|001}{A10|7|Evaluation|002}{A10|7|Evaluation|003}{A10|7|Evaluation|004}{A10|7|Evaluation|005}{A10|7|Evaluation|006}{A10|7|Evaluation|007}{A10|7|Evaluation|008}{A10|7|Evaluation|009}{A10|7|Evaluation|010},1,0,0,0,1,0,0,20,20,0,0
A10|8|GE,8,A10,MaxTime,{A10|8|Evaluation|001}{A10|8|Evaluation|002}{A10|8|Evaluation|003}{A10|8|Evaluation|004}{A10|8|Evaluation|005}{A10|8|Evaluation|006}{A10|8|Evaluation|007}{A10|8|Evaluation|008}{A10|8|Evaluation|009}{A10|8|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A10|9|GE,9,A10,MaxTime,{A10|9|Evaluation|001}{A10|9|Evaluation|002}{A10|9|Evaluation|003}{A10|9|Evaluation|004}{A10|9|Evaluation|005}{A10|9|Evaluation|006}{A10|9|Evaluation|007}{A10|9|Evaluation|008}{A10|9|Evaluation|009}{A10|9|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
A10|10|GE,10,A10,MaxTime,{A10|10|Evaluation|001}{A10|10|Evaluation|002}{A10|10|Evaluation|003}{A10|10|Evaluation|004}{A10|10|Evaluation|005}{A10|10|Evaluation|006}{A10|10|Evaluation|007}{A10|10|Evaluation|008}{A10|10|Evaluation|009}{A10|10|Evaluation|010},0,1,0,0,0,1,0,20,0,20,0
