CO,X1,Y,H,M,PO,CE,D,PE,A,B,R|NEW_REACTION,R|Reaction1,R|Reaction10,R|Reaction11,R|Reaction2,R|Reaction3,R|Reaction4,R|Reaction5,R|Reaction6,R|Reaction7,R|Reaction8,R|Reaction9,Times,Reaction
0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996
0,99,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00924422937029705,Reaction1
0,98,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0205663165109124,Reaction1
0,97,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0297894803131238,Reaction1
0,96,0,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.0355578177544384,Reaction1
0,95,0,5,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0522419249563427,Reaction1
0,95,0,5,5,3,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0.0588425051787115,Reaction2
0,94,0,6,6,4,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0.0606387794989237,Reaction1
0,93,0,7,7,5,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0.0697018002267265,Reaction1
0,93,0,5,7,5,0,1,1,0,0,0,7,0,0,1,0,0,1,0,0,0,0,0.0741043490029253,Reaction5
0,92,0,6,8,6,0,1,1,0,0,0,8,0,0,1,0,0,1,0,0,0,0,0.0744037542266873,Reaction1
0,91,0,7,9,7,0,1,1,0,0,0,9,0,0,1,0,0,1,0,0,0,0,0.0813732200842867,Reaction1
0,90,0,8,10,8,0,1,1,0,0,0,10,0,0,1,0,0,1,0,0,0,0,0.0879465521790315,Reaction1
0,90,0,8,10,6,0,1,2,0,0,0,10,0,0,2,0,0,1,0,0,0,0,0.0938151538953199,Reaction2
0,89,0,9,11,7,0,1,2,0,0,0,11,0,0,2,0,0,1,0,0,0,0,0.0944610474029131,Reaction1
0,89,0,7,11,7,0,2,2,0,0,0,11,0,0,2,0,0,2,0,0,0,0,0.101627699856273,Reaction5
0,89,0,5,11,7,0,3,2,0,0,0,11,0,0,2,0,0,3,0,0,0,0,0.109936527362289,Reaction5
0,88,0,6,12,8,0,3,2,0,0,0,12,0,0,2,0,0,3,0,0,0,0,0.114091786070539,Reaction1
0,87,0,7,13,9,0,3,2,0,0,0,13,0,0,2,0,0,3,0,0,0,0,0.13401950665775,Reaction1
0,87,1,7,13,9,1,2,2,0,0,0,13,0,0,2,0,0,3,0,0,1,0,0.137831749635271,Reaction8
0,86,1,8,14,10,1,2,2,0,0,0,14,0,0,2,0,0,3,0,0,1,0,0.141070724853903,Reaction1
0,85,1,9,15,11,1,2,2,0,0,0,15,0,0,2,0,0,3,0,0,1,0,0.143844186887588,Reaction1
0,84,1,10,16,12,1,2,2,0,0,0,16,0,0,2,0,0,3,0,0,1,0,0.15006068797155,Reaction1
0,84,1,10,16,10,1,2,3,0,0,0,16,0,0,3,0,0,3,0,0,1,0,0.152473517159826,Reaction2
0,84,0,10,16,10,0,3,3,0,0,0,16,1,0,3,0,0,3,0,0,1,0,0.15317903793887,Reaction10
0,84,0,10,16,8,0,3,4,0,0,0,16,1,0,4,0,0,3,0,0,1,0,0.159832686368559,Reaction2
0,84,1,10,16,8,1,2,4,0,0,0,16,1,0,4,0,0,3,0,0,2,0,0.165519540808352,Reaction8
0,84,1,8,16,8,1,3,4,0,0,0,16,1,0,4,0,0,4,0,0,2,0,0.167884277696738,Reaction5
0,83,1,9,17,9,1,3,4,0,0,0,17,1,0,4,0,0,4,0,0,2,0,0.171689071815007,Reaction1
0,82,1,10,18,10,1,3,4,0,0,0,18,1,0,4,0,0,4,0,0,2,0,0.174276597442192,Reaction1
0,82,1,10,18,8,1,3,5,0,0,0,18,1,0,5,0,0,4,0,0,2,0,0.176761843404196,Reaction2
0,82,2,10,18,8,2,2,5,0,0,0,18,1,0,5,0,0,4,0,0,3,0,0.183241288674121,Reaction8
0,82,1,10,18,8,1,3,5,0,0,0,18,2,0,5,0,0,4,0,0,3,0,0.184140309094716,Reaction10
0,81,1,11,19,9,1,3,5,0,0,0,19,2,0,5,0,0,4,0,0,3,0,0.187003257067644,Reaction1
0,81,1,11,19,9,1,3,4,0,0,0,19,2,0,5,1,0,4,0,0,3,0,0.190226297578274,Reaction3
0,81,1,11,19,7,1,3,5,0,0,0,19,2,0,6,1,0,4,0,0,3,0,0.192560434447159,Reaction2
0,80,1,12,20,8,1,3,5,0,0,0,20,2,0,6,1,0,4,0,0,3,0,0.192629243038207,Reaction1
0,79,1,13,21,9,1,3,5,0,0,0,21,2,0,6,1,0,4,0,0,3,0,0.200188784668327,Reaction1
