CO,X1,Y,H,M,PO,CE,D,PE,A,B,R|NEW_REACTION,R|Reaction1,R|Reaction10,R|Reaction11,R|Reaction2,R|Reaction3,R|Reaction4,R|Reaction5,R|Reaction6,R|Reaction7,R|Reaction8,R|Reaction9,Times,Reaction
0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284
0,38,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00867017345744233,Reaction1
0,37,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0151948259108371,Reaction1
0,37,0,0,2,2,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0.0867761118166031,Reaction5
0,36,0,1,3,3,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0.104239392765036,Reaction1
0,35,0,2,4,4,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0.173683861883557,Reaction1
0,34,0,3,5,5,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0.185686882507242,Reaction1
0,34,0,3,5,3,0,1,1,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0.207162273114236,Reaction2
0,34,0,3,4,3,0,1,1,6,3,0,5,0,0,1,0,0,1,1,0,0,0,0.216410351171314,Reaction6
1,34,1,3,4,3,0,1,1,5,3,0,5,0,0,1,0,0,1,1,0,0,1,0.2165350017731,Reaction9
1,33,1,4,5,4,0,1,1,5,3,0,6,0,0,1,0,0,1,1,0,0,1,0.219840321436327,Reaction1
1,33,1,4,5,4,0,1,1,3,1,0,6,0,0,1,0,0,1,1,1,0,1,0.223303249200581,Reaction7
1,32,1,5,6,5,0,1,1,3,1,0,7,0,0,1,0,0,1,1,1,0,1,0.223768677212202,Reaction1
1,32,1,3,6,5,0,2,1,3,1,0,7,0,0,1,0,0,2,1,1,0,1,0.236065753491243,Reaction5
1,32,1,3,6,3,0,2,2,3,1,0,7,0,0,2,0,0,2,1,1,0,1,0.249622899088979,Reaction2
2,32,2,3,6,3,0,2,2,2,1,0,7,0,0,2,0,0,2,1,1,0,2,0.262623765445236,Reaction9
2,32,2,3,6,3,0,2,1,2,1,0,7,0,0,2,0,1,2,1,1,0,2,0.266776611440689,Reaction4
1,31,3,3,6,3,0,2,1,2,1,1,7,0,0,2,0,1,2,1,1,0,2,0.27352010936562,NEW_REACTION
