Name,ConcreteInputName,AbstractTestName,EvaluationTime,EvaluationNames,Pass,Fail,Error,FlakeyFail,DeterministicPass,DeterministicFail,DeterministicError,Evaluation_Number,Evaluation_NumberPass,Evaluation_NumberFail,Evaluation_NumberError
ASE2|4,4,ASE2,MaxTime,{ASE2|4|Evaluation|001}{ASE2|4|Evaluation|002}{ASE2|4|Evaluation|003}{ASE2|4|Evaluation|004}{ASE2|4|Evaluation|005}{ASE2|4|Evaluation|006}{ASE2|4|Evaluation|007}{ASE2|4|Evaluation|008}{ASE2|4|Evaluation|009}{ASE2|4|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
ASE2|5,5,ASE2,MaxTime,{ASE2|5|Evaluation|001}{ASE2|5|Evaluation|002}{ASE2|5|Evaluation|003}{ASE2|5|Evaluation|004}{ASE2|5|Evaluation|005}{ASE2|5|Evaluation|006}{ASE2|5|Evaluation|007}{ASE2|5|Evaluation|008}{ASE2|5|Evaluation|009}{ASE2|5|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
ASE2|6,6,ASE2,MaxTime,{ASE2|6|Evaluation|001}{ASE2|6|Evaluation|002}{ASE2|6|Evaluation|003}{ASE2|6|Evaluation|004}{ASE2|6|Evaluation|005}{ASE2|6|Evaluation|006}{ASE2|6|Evaluation|007}{ASE2|6|Evaluation|008}{ASE2|6|Evaluation|009}{ASE2|6|Evaluation|010},0,1,0,0,0,1,0,10,0,10,0
