CO,X1,Y,H,M,PO,CE,D,PE,A,B,R|NEW_REACTION,R|Reaction1,R|Reaction10,R|Reaction11,R|Reaction2,R|Reaction3,R|Reaction4,R|Reaction5,R|Reaction6,R|Reaction7,R|Reaction8,R|Reaction9,Times,Reaction
0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1472
0,77,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0304969488425164,Reaction1
0,76,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0340744805962194,Reaction1
0,75,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.0380219467527671,Reaction1
0,74,0,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.042584981971259,Reaction1
0,73,0,5,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.0527549649364976,Reaction1
0,72,0,6,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0.0637597881720367,Reaction1
0,71,0,7,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.0691246907478579,Reaction1
0,70,0,8,8,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0.0749643686012498,Reaction1
0,70,0,8,7,8,0,0,0,6,3,0,8,0,0,0,0,0,0,1,0,0,0,0.0761098638918034,Reaction6
0,70,0,8,7,6,0,0,1,6,3,0,8,0,0,1,0,0,0,1,0,0,0,0.0774470777992118,Reaction2
0,70,0,8,7,6,0,0,1,4,1,0,8,0,0,1,0,0,0,1,1,0,0,0.0783697928211562,Reaction7
0,70,0,6,7,6,0,1,1,4,1,0,8,0,0,1,0,0,1,1,1,0,0,0.0824146666950689,Reaction5
0,70,0,4,7,6,0,2,1,4,1,0,8,0,0,1,0,0,2,1,1,0,0,0.0911389298567916,Reaction5
1,70,1,4,7,6,0,2,1,3,1,0,8,0,0,1,0,0,2,1,1,0,1,0.0924916037029952,Reaction9
0,69,2,4,7,6,0,2,1,3,1,1,8,0,0,1,0,0,2,1,1,0,1,0.0952638442741547,NEW_REACTION
1,69,3,4,7,6,0,2,1,2,1,1,8,0,0,1,0,0,2,1,1,0,2,0.0972246722722169,Reaction9
1,68,3,5,8,7,0,2,1,2,1,1,9,0,0,1,0,0,2,1,1,0,2,0.0981100794348113,Reaction1
1,68,3,5,8,5,0,2,2,2,1,1,9,0,0,2,0,0,2,1,1,0,2,0.100175045172162,Reaction2
0,67,4,5,8,5,0,2,2,2,1,2,9,0,0,2,0,0,2,1,1,0,2,0.101183010453148,NEW_REACTION
0,67,5,5,8,5,1,1,2,2,1,2,9,0,0,2,0,0,2,1,1,1,2,0.107405672332863,Reaction8
0,66,5,6,9,6,1,1,2,2,1,2,10,0,0,2,0,0,2,1,1,1,2,0.111685924681625,Reaction1
0,66,5,6,9,4,1,1,3,2,1,2,10,0,0,3,0,0,2,1,1,1,2,0.111769947482692,Reaction2
0,66,4,6,9,4,0,2,3,2,1,2,10,1,0,3,0,0,2,1,1,1,2,0.122325129706865,Reaction10
0,66,4,6,9,4,0,2,2,2,1,2,10,1,0,3,1,0,2,1,1,1,2,0.143065723281288,Reaction3
0,65,4,7,10,5,0,2,2,2,1,2,11,1,0,3,1,0,2,1,1,1,2,0.144645829879106,Reaction1
0,65,4,5,10,5,0,3,2,2,1,2,11,1,0,3,1,0,3,1,1,1,2,0.15290286527829,Reaction5
0,64,4,6,11,6,0,3,2,2,1,2,12,1,0,3,1,0,3,1,1,1,2,0.159488617245929,Reaction1
0,63,4,7,12,7,0,3,2,2,1,2,13,1,0,3,1,0,3,1,1,1,2,0.162921631608716,Reaction1
0,62,4,8,13,8,0,3,2,2,1,2,14,1,0,3,1,0,3,1,1,1,2,0.163850670573824,Reaction1
0,62,4,6,13,8,0,4,2,2,1,2,14,1,0,3,1,0,4,1,1,1,2,0.167408973857339,Reaction5
0,62,4,6,13,8,0,4,1,2,1,2,14,1,0,3,2,0,4,1,1,1,2,0.171174968518282,Reaction3
0,62,4,6,12,8,0,4,1,8,4,2,14,1,0,3,2,0,4,2,1,1,2,0.173148970870084,Reaction6
0,62,4,6,12,8,0,4,1,6,2,2,14,1,0,3,2,0,4,2,2,1,2,0.17589588216145,Reaction7
1,62,5,6,12,8,0,4,1,5,2,2,14,1,0,3,2,0,4,2,2,1,3,0.185957341242915,Reaction9
1,62,5,6,12,6,0,4,2,5,2,2,14,1,0,4,2,0,4,2,2,1,3,0.188141812311449,Reaction2
1,61,5,7,13,7,0,4,2,5,2,2,15,1,0,4,2,0,4,2,2,1,3,0.193495772756349,Reaction1
1,60,5,8,14,8,0,4,2,5,2,2,16,1,0,4,2,0,4,2,2,1,3,0.199761533934902,Reaction1
0,59,6,8,14,8,0,4,2,5,2,3,16,1,0,4,2,0,4,2,2,1,3,0.200042106284442,NEW_REACTION
1,59,7,8,14,8,0,4,2,4,2,3,16,1,0,4,2,0,4,2,2,1,4,0.221184265370909,Reaction9
1,59,7,8,14,6,0,4,3,4,2,3,16,1,0,5,2,0,4,2,2,1,4,0.221524388348368,Reaction2
1,58,7,9,15,7,0,4,3,4,2,3,17,1,0,5,2,0,4,2,2,1,4,0.222263638361362,Reaction1
1,57,7,10,16,8,0,4,3,4,2,3,18,1,0,5,2,0,4,2,2,1,4,0.230023255059113,Reaction1
1,57,7,8,16,8,0,5,3,4,2,3,18,1,0,5,2,0,5,2,2,1,4,0.240136046804163,Reaction5
1,57,7,8,16,6,0,5,4,4,2,3,18,1,0,6,2,0,5,2,2,1,4,0.240288988499215,Reaction2
1,57,7,6,16,6,0,6,4,4,2,3,18,1,0,6,2,0,6,2,2,1,4,0.241367846823049,Reaction5
1,56,7,7,17,7,0,6,4,4,2,3,19,1,0,6,2,0,6,2,2,1,4,0.242380215192779,Reaction1
1,55,7,8,18,8,0,6,4,4,2,3,20,1,0,6,2,0,6,2,2,1,4,0.243886709253812,Reaction1
1,55,7,8,18,8,0,6,3,4,2,3,20,1,0,6,3,0,6,2,2,1,4,0.245145613189096,Reaction3
0,55,6,8,18,8,0,6,3,5,2,3,20,1,1,6,3,0,6,2,2,1,4,0.24779968541244,Reaction11
0,55,6,8,17,8,0,6,3,11,5,3,20,1,1,6,3,0,6,3,2,1,4,0.249066542774776,Reaction6
0,55,6,8,17,8,0,6,3,9,3,3,20,1,1,6,3,0,6,3,3,1,4,0.249089432307615,Reaction7
0,55,6,8,17,6,0,6,4,9,3,3,20,1,1,7,3,0,6,3,3,1,4,0.250341739757277,Reaction2
0,55,6,8,17,6,0,6,4,7,1,3,20,1,1,7,3,0,6,3,4,1,4,0.253127500528912,Reaction7
0,54,6,9,18,7,0,6,4,7,1,3,21,1,1,7,3,0,6,3,4,1,4,0.253475883216857,Reaction1
0,53,6,10,19,8,0,6,4,7,1,3,22,1,1,7,3,0,6,3,4,1,4,0.262582734472347,Reaction1
0,52,6,11,20,9,0,6,4,7,1,3,23,1,1,7,3,0,6,3,4,1,4,0.263004571479303,Reaction1
0,52,6,11,20,7,0,6,5,7,1,3,23,1,1,8,3,0,6,3,4,1,4,0.267485406195496,Reaction2
0,52,6,11,20,7,0,6,4,7,1,3,23,1,1,8,3,1,6,3,4,1,4,0.278088328834428,Reaction4
0,52,7,11,20,7,1,5,4,7,1,3,23,1,1,8,3,1,6,3,4,2,4,0.280135569410451,Reaction8
