CO,X1,Y,H,M,PO,CE,D,PE,A,B,R|NEW_REACTION,R|Reaction1,R|Reaction10,R|Reaction11,R|Reaction2,R|Reaction3,R|Reaction4,R|Reaction5,R|Reaction6,R|Reaction7,R|Reaction8,R|Reaction9,Times,Reaction
0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179
0,101,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00446893355476049,Reaction1
0,100,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.00790452149228334,Reaction1
0,99,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.018424265453573,Reaction1
0,98,0,4,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.0218645585829491,Reaction1
0,98,0,4,3,4,0,0,0,6,3,0,4,0,0,0,0,0,0,1,0,0,0,0.0225031611521646,Reaction6
0,98,0,4,3,4,0,0,0,4,1,0,4,0,0,0,0,0,0,1,1,0,0,0.0272776225999691,Reaction7
1,98,1,4,3,4,0,0,0,3,1,0,4,0,0,0,0,0,0,1,1,0,1,0.0327540429213646,Reaction9
1,97,1,5,4,5,0,0,0,3,1,0,5,0,0,0,0,0,0,1,1,0,1,0.0394721330506224,Reaction1
1,96,1,6,5,6,0,0,0,3,1,0,6,0,0,0,0,0,0,1,1,0,1,0.0477109863576086,Reaction1
0,95,2,6,5,6,0,0,0,3,1,1,6,0,0,0,0,0,0,1,1,0,1,0.062626491263006,NEW_REACTION
0,95,2,6,5,4,0,0,1,3,1,1,6,0,0,1,0,0,0,1,1,0,1,0.065580309140938,Reaction2
0,95,2,4,5,4,0,1,1,3,1,1,6,0,0,1,0,0,1,1,1,0,1,0.0709513720860759,Reaction5
0,95,2,2,5,4,0,2,1,3,1,1,6,0,0,1,0,0,2,1,1,0,1,0.0892393435686845,Reaction5
1,95,3,2,5,4,0,2,1,2,1,1,6,0,0,1,0,0,2,1,1,0,2,0.099711415886539,Reaction9
0,94,4,2,5,4,0,2,1,2,1,2,6,0,0,1,0,0,2,1,1,0,2,0.100265205528641,NEW_REACTION
0,93,4,3,6,5,0,2,1,2,1,2,7,0,0,1,0,0,2,1,1,0,2,0.105385146338438,Reaction1
0,92,4,4,7,6,0,2,1,2,1,2,8,0,0,1,0,0,2,1,1,0,2,0.114812304752725,Reaction1
0,92,4,4,7,4,0,2,2,2,1,2,8,0,0,2,0,0,2,1,1,0,2,0.120393134546352,Reaction2
0,92,5,4,7,4,1,1,2,2,1,2,8,0,0,2,0,0,2,1,1,1,2,0.124953431717678,Reaction8
0,91,5,5,8,5,1,1,2,2,1,2,9,0,0,2,0,0,2,1,1,1,2,0.125122765689523,Reaction1
0,90,5,6,9,6,1,1,2,2,1,2,10,0,0,2,0,0,2,1,1,1,2,0.136266572503855,Reaction1
0,89,5,7,10,7,1,1,2,2,1,2,11,0,0,2,0,0,2,1,1,1,2,0.137227919689077,Reaction1
0,89,5,7,10,5,1,1,3,2,1,2,11,0,0,3,0,0,2,1,1,1,2,0.137544895843239,Reaction2
0,88,5,8,11,6,1,1,3,2,1,2,12,0,0,3,0,0,2,1,1,1,2,0.14692891381553,Reaction1
0,87,5,9,12,7,1,1,3,2,1,2,13,0,0,3,0,0,2,1,1,1,2,0.151860333647962,Reaction1
0,87,5,7,12,7,1,2,3,2,1,2,13,0,0,3,0,0,3,1,1,1,2,0.151895698091684,Reaction5
0,87,5,5,12,7,1,3,3,2,1,2,13,0,0,3,0,0,4,1,1,1,2,0.153880863153949,Reaction5
